setting,registered_in,readers,status
aether_analytics_ga4_id,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\aether-analytics.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php",CONNECTED
aether_announcement_enabled,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php | frontend\views\composer.php",CONNECTED
aether_announcement_height,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php",CONNECTED
aether_announcement_items,"frontend/designs\vineta\composer.php","frontend\adapters\adapter-shell.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php",CONNECTED
aether_announcement_text,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\customizer\fields\frontend.php | frontend\adapters\adapter-shell.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php",CONNECTED
aether_announcement_url,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php",CONNECTED
aether_categories_label,,"frontend\adapters\adapter-wc-categories.php",ENGINE_DEMO
aether_categories_subtitle,,"frontend\adapters\adapter-wc-categories.php",ENGINE_DEMO
aether_category_items,"frontend/designs\vineta\composer.php","frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php",CONNECTED
aether_color_accent,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_accent_hover,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_bg,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_border,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_error,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php",CONNECTED
aether_color_muted,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_success,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php",CONNECTED
aether_color_surface,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_surface_2,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_surface_3,"themes/aureon\inc\customizer\fields\frontend.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\tokens\tokens.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_color_text,"themes/aureon\inc\customizer\fields\frontend.php | frontend/designs\vineta\composer.php","themes/aureon\inc\aether-tokens.php | themes/aureon\inc\customizer\fields\frontend.php | frontend\designs\vineta\composer.php | frontend\designs\vineta\tokens.php | frontend\tokens\tokens.php | frontend\_so_import\_so_import.php | frontend\_so_import\_so_sync.php",CONNECTED
aether_coming_soon_date,,"frontend\adapters\adapter-coming-soon.php",ENGINE_DEMO
aether_contact_address,"frontend/designs\vineta\composer.php","frontend\adapters\adapter-contact.php | frontend\designs\vineta\composer.php | frontend\tokens\tokens.php",CONNECTED
aether_contact_hours,"frontend/designs\vineta\composer.php","frontend\adapters\adapter-contact.php | frontend\designs\vineta\composer.php | frontend\tokens\tokens.php",CONNECTED
aether_contact_phone,"frontend/designs\vineta\composer.php","frontend\designs\vineta\composer.php",CONNECTED
aether_contact_recipient,"frontend/designs\vineta\composer.php","themes/aureon\inc\aether-ajax.php",CONNECTED
