Product ID,Title,Handle,Vendor,Product Type,Published,Created,Updated,Tags,Total Variants,Total Images,Price Range,In Stock
"=""8057789022298""",Cobbler's Choice Loafer Care Kit,cobblers-choice-loafer-care-kit,Thursday Boots - Accessories,Shoe Care,8/7/2026,8/7/2026,8/8/2026,accessory-full; all:All; BIS; bundle-item; cobblers-choice; credit_fee:500; exchange_fee:500; group:Shoe Care; klaviyo:Unisex; live_product; loop-accessory; pf-gender:Unisex; pf-status:active; pf-style:Shoe Care; pf-type:Accessories; product-switcher; recurate-disqualify; recurate-hide; refund_fee: 500; retail-sync; thumbnails:shoe-care-bundles; virtual-bundle,1,5,$11500 - $11500,Yes
"=""8057773359194""",Cobbler's Choice Leather Jacket Care Kit,cobblers-choice-leather-jacket-care-kit,Thursday Boots - Accessories,Shoe Care,8/7/2026,8/7/2026,8/8/2026,accessory-full; all:All; BIS; bundle-item; cobblers-choice; credit_fee:500; exchange_fee:500; group:Shoe Care; klaviyo:Unisex; live_product; loop-accessory; pf-gender:Unisex; pf-status:active; pf-style:Shoe Care; pf-type:Accessories; product-switcher; recurate-disqualify; recurate-hide; refund_fee: 500; retail-sync; thumbnails:shoe-care-bundles; virtual-bundle,1,6,$17800 - $17800,Yes
"=""8042772660314""",Fancy | Light Taupe,womens-fancy-top-handle-bag-light-taupe-leather,Thursday Boots - Women's Bags,Bags,8/5/2026,7/28/2026,8/8/2026,accessory-full; all:All; anagram-enabled; bags:Fancy; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; BIS; color:Cream; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Women; loop-accessory; material:Leather; model:Fancy; pf-gender:Female; pf-type:Accessories; product-switcher; redo:fancy; refund_fee: FREE; retail-sync; show-previews; show_recs; thumbnail-previews; thumbnails:womens-fancy; womens-bags; YGroup_womens-fancy-bag,1,8,$53800 - $53800,Yes
"=""8042760536154""",Fancy | Cedar,womens-fancy-top-handle-bag-cedar-leather,Thursday Boots - Women's Bags,Bags,8/5/2026,7/28/2026,8/8/2026,accessory-full; all:All; anagram-enabled; bags:Fancy; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; BIS; color:Brown; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Women; loop-accessory; material:Leather; model:Fancy; pf-gender:Female; pf-type:Accessories; product-switcher; redo:fancy; refund_fee: FREE; retail-sync; show-previews; show_recs; thumbnail-previews; thumbnails:womens-fancy; womens-bags; YGroup_womens-fancy-bag,1,8,$53800 - $53800,Yes
"=""8042748182618""",Fancy | Burgundy,womens-fancy-top-handle-bag-burgundy-leather,Thursday Boots - Women's Bags,Bags,8/5/2026,7/28/2026,8/8/2026,accessory-full; all:All; anagram-enabled; bags:Fancy; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; BIS; color:Burgundy; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; klaviyo:Women; loop-accessory; material:Leather; model:Fancy; pf-gender:Female; pf-type:Accessories; product-switcher; redo:fancy; refund_fee: FREE; retail-sync; show-previews; show_recs; thumbnail-previews; thumbnails:womens-fancy; womens-bags; YGroup_womens-fancy-bag,1,8,$53800 - $53800,Yes
"=""8042727145562""",Fancy | Black,womens-fancy-top-handle-bag-black-leather,Thursday Boots - Women's Bags,Bags,8/5/2026,7/28/2026,8/8/2026,accessory-full; all:All; anagram-enabled; bags:Fancy; bf21:Leather; bf21:W-Boot-Black; bf21:WBeanie; bf21:Women-Belt-Black; bfcm-eligible; BIS; color:Black; credit_fee:FREE; exchange_fee:FREE; free-gift; highlight:New Arrival; honest-pricing; interactive-details; keyword:Black; klaviyo:Women; loop-accessory; material:Leather; model:Fancy; pf-gender:Female; pf-type:Accessories; product-switcher; redo:fancy; refund_fee: FREE; retail-sync; show-previews; show_recs; thumbnail-previews; thumbnails:womens-fancy; womens-bags; YGroup_womens-fancy-bag,1,8,$53800 - $53800,Yes
"=""7887881994330""",Lincoln | Pebbled Mahogany,mens-lincoln-penny-loafer-pebbled-mahogany-leather,Thursday Boots - Men's Shoes,Shoes,8/5/2026,4/28/2026,8/8/2026,all:All; anagram-enabled; as:EssentialLeatherKit; bf21:M-Shoes; bf21:MBeanie; bf21:Men-Belt-Cognac; bfcm-eligible; BIS; color:Brown; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-quiz:occasional-true; fit_cat:half-down; fitfinder_inline; fqv2:half-down; free-gift; group:Shoes; highlight:New Arrival; honest-pricing; interactive-details; keyword:Black; keyword:Lincoln; keyword:penny loafer; klaviyo:Men; live_product; loop:Men's Lincoln; material:Leather; mens-shoes; mlp:mens-shoes; mobile-details; model:Lincoln; ms-group:Lincoln; mss-group:Lincoln; no-cs-variants; no-expedited; pf-gender:Male; pf-status:active; pf-style:Loafer; pf-type:Shoes; product-switcher; recommend:-0.5; recurate-hide; redo:lincoln; refund_fee: FREE; retail-sync; shoes:LincolnRubber; show-previews; show_recs; style:Loafer; thumb-groups:mens-lincoln;mens-lincoln-rubber;mens-lincoln-eva; thumbnails:mens-lincoln-rubber; trove-exclude; width:Standard; YCRF_sizing; YGroup_mens-lincoln-shoes; yotpo-reviews,19,7,$53800 - $53800,Yes
"=""7887874359386""",Lincoln | Pebbled Coffee,mens-lincoln-penny-loafer-pebbled-coffee-leather,Thursday Boots - Men's Shoes,Shoes,8/5/2026,4/28/2026,8/8/2026,all:All; anagram-enabled; as:EssentialLeatherKit; bf21:M-Shoes; bf21:MBeanie; bf21:Men-Belt-Cognac; bfcm-eligible; BIS; color:Brown; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-quiz:occasional-true; fit_cat:half-down; fitfinder_inline; fqv2:half-down; free-gift; group:Shoes; highlight:New Arrival; honest-pricing; interactive-details; keyword:Black; keyword:Lincoln; keyword:penny loafer; klaviyo:Men; live_product; loop:Men's Lincoln; material:Leather; mens-shoes; mlp:mens-shoes; mobile-details; model:Lincoln; ms-group:Lincoln; mss-group:Lincoln; no-cs-variants; no-expedited; pf-gender:Male; pf-status:active; pf-style:Loafer; pf-type:Shoes; product-switcher; recommend:-0.5; recurate-hide; redo:lincoln; refund_fee: FREE; retail-sync; shoes:LincolnRubber; show-previews; show_recs; style:Loafer; thumb-groups:mens-lincoln;mens-lincoln-rubber;mens-lincoln-eva; thumbnails:mens-lincoln-rubber; trove-exclude; width:Standard; YCRF_sizing; YGroup_mens-lincoln-shoes; yotpo-reviews,19,7,$53800 - $53800,Yes
"=""7887854764122""",Lincoln | Pebbled Black,mens-lincoln-penny-loafer-pebbled-black-leather,Thursday Boots - Men's Shoes,Shoes,8/5/2026,4/28/2026,8/8/2026,all:All; anagram-enabled; as:EssentialLeatherKit; bf21:M-Shoes; bf21:MBeanie; bf21:Men-Belt-Cognac; bf21:Suede; bfcm-eligible; BIS; color:Black; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-quiz:occasional-true; fit_cat:half-down; fitfinder_inline; fqv2:half-down; free-gift; group:Shoes; highlight:New Arrival; honest-pricing; interactive-details; keyword:Black; keyword:Lincoln; keyword:penny loafer; klaviyo:Men; live_product; loop:Men's Lincoln; material:Leather; mens-shoes; mlp:mens-shoes; mobile-details; model:Lincoln; ms-group:Lincoln; mss-group:Lincoln; no-cs-variants; no-expedited; pf-gender:Male; pf-status:active; pf-style:Loafer; pf-type:Shoes; product-switcher; recommend:-0.5; recurate-hide; redo:lincoln; refund_fee: FREE; retail-sync; shoes:LincolnRubber; show-previews; show_recs; style:Loafer; thumb-groups:mens-lincoln;mens-lincoln-rubber;mens-lincoln-eva; thumbnails:mens-lincoln-rubber; trove-exclude; width:Standard; YCRF_sizing; YGroup_mens-lincoln-shoes; yotpo-reviews,19,7,$53800 - $53800,Yes
"=""7887844147290""",Lincoln | Coastline,mens-lincoln-penny-loafer-coastline-suede,Thursday Boots - Men's Shoes,Shoes,8/5/2026,4/28/2026,8/8/2026,all:All; anagram-enabled; as:EssentialLeatherKit; bf21:Leather; bf21:M-Shoes; bf21:MBeanie; bf21:Men-Belt-BlackCoffee; bfcm-eligible; BIS; boat-shoes-loafer:Lincoln; casual-shoes:Lincoln; color:Tan; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-quiz:occasional-true; fit_cat:half-down; fitfinder_inline; fqv2:half-down; free-gift; group:Shoes; highlight:New Arrival; honest-pricing; interactive-details; keyword:Black; keyword:Lincoln; keyword:penny loafer; klaviyo:Men; live_product; loop:Men's Lincoln; m-all:D-Featured-Shoes; material:Suede; mens-shoes; mlp:mens-shoes; mobile-details; model:Lincoln; ms-group:Lincoln; mss-group:Lincoln; no-cs-variants; pf-gender:Male; pf-status:active; pf-style:Loafer; pf-type:Shoes; product-switcher; recommend:-0.5; recurate-hide; redo:lincoln; refund_fee: FREE; retail-sync; shoes:Lincoln; show-previews; show_recs; style:Loafer; thumb-groups:mens-lincoln;mens-lincoln-rubber;mens-lincoln-eva; thumbnails:mens-lincoln-eva; trove-exclude; width:Standard; YCRF_sizing; YGroup_mens-lincoln; yotpo-reviews,19,7,$53800 - $53800,Yes
"=""7887840346202""",Lincoln | Golden Hour,mens-lincoln-penny-loafer-golden-hour-suede,Thursday Boots - Men's Shoes,Shoes,8/5/2026,4/28/2026,8/8/2026,all:All; anagram-enabled; as:EssentialLeatherKit; bf21:Leather; bf21:M-Shoes; bf21:MBeanie; bf21:Men-Belt-BlackCoffee; bfcm-eligible; BIS; boat-shoes-loafer:Lincoln; casual-shoes:Lincoln; color:Tan; credit_fee:FREE; exchange_fee:FREE; extended-sizes; fit-quiz:occasional-true; fit_cat:half-down; fitfinder_inline; fqv2:half-down; free-gift; group:Shoes; highlight:New Arrival; honest-pricing; interactive-details; keyword:Black; keyword:Lincoln; keyword:penny loafer; klaviyo:Men; live_product; loop:Men's Lincoln; m-all:D-Featured-Shoes; material:Suede; mens-shoes; mlp:mens-shoes; mobile-details; model:Lincoln; ms-group:Lincoln; mss-group:Lincoln; no-cs-variants; pf-gender:Male; pf-status:active; pf-style:Loafer; pf-type:Shoes; product-switcher; recommend:-0.5; recurate-hide; redo:lincoln; refund_fee: FREE; retail-sync; shoes:Lincoln; show-previews; show_recs; style:Loafer; thumb-groups:mens-lincoln;mens-lincoln-rubber;mens-lincoln-eva; thumbnails:mens-lincoln-eva; trove-exclude; width:Standard; YCRF_sizing; YGroup_mens-lincoln; yotpo-reviews,19,7,$53800 - $53800,Yes
"=""8038669713498""",Cobbler's Choice Edge Dressing | 2-Pack,cobblers-choice-edge-dressing-2-pack,Thursday Boots - Accessories,Shoe Care,7/31/2026,7/24/2026,8/8/2026,accessory-full; all:All; bf2020-100; BIS; cobblers-choice; credit_fee:500; discount:1200; exchange_fee:500; free-ship-care; gwp-eligible; klaviyo:Unisex; live_product; loop-accessory; pf-gender:Unisex; pf-status:active; pf-style:Shoe Care; pf-type:Accessories; product-switcher; recurate-disqualify; recurate-hide; refund_fee: 500; retail-sync; thumbnails:cobblers-choice-edge-dressing; YGroup_edge-dressing,1,5,$5800 - $5800,Yes
